id,tag,type,location,clan_level,clan_points,clan_v_points,required_trophies,war_frequency,war_win_streak,war_wins,war_league,members,chat_language
214,#89GY908R,inviteOnly,Gibraltar,10,11789,13029,1100,always,1,211,Gold League III,16,English
215,#2G89U0P2U,inviteOnly,Bangladesh,2,9232,7136,0,always,0,7,Unranked,12,English
216,#G2RU8URJ,inviteOnly,Myanmar (Burma),7,11049,11284,800,always,0,71,Unranked,11,
217,#RJ20RPCG,inviteOnly,Myanmar (Burma),4,10582,12239,0,always,2,21,Silver League II,15,
218,#2QPC9JVCY,inviteOnly,,3,2575,2490,200,always,3,13,Unranked,5,
219,#2PGG22VJ9,inviteOnly,Myanmar (Burma),3,9216,8707,0,always,1,14,Unranked,14,English
220,#28YY00RRV,closed,Philippines,11,8075,5383,0,always,0,225,Unranked,6,
221,#2QYY9CY92,inviteOnly,Indonesia,3,11436,10834,1000,always,1,23,Unranked,16,Bahasa Indonesia
222,#2G0PJY98C,inviteOnly,India,1,3836,3719,0,always,0,2,Unranked,5,English
223,#2LRPRYQ0Y,inviteOnly,Indonesia,2,3721,2436,2000,always,0,7,Unranked,5,Bahasa Indonesia
224,#2QYPQQ0G,closed,Finland,10,10522,496,200,always,0,171,Unranked,10,
225,#2QLRQLRUU,closed,India,2,6850,9172,400,always,5,12,Unranked,14,English
226,#ULC8CRPJ,closed,Indonesia,14,8783,6261,0,always,0,164,Gold League I,10,Bahasa Indonesia
227,#LULPCCGQ,closed,International,16,15512,14854,2200,always,3,541,Unranked,11,
228,#2YVGU0RUG,inviteOnly,France,3,8864,4706,1200,always,9,9,Gold League I,10,Français
229,#2YJ8V0GU0,inviteOnly,Sri Lanka,4,8430,8882,0,always,0,22,Gold League III,13,English
230,#28RR2JY2R,closed,,5,8391,8249,0,always,9,40,Silver League I,15,
231,#2P8JJVR92,closed,International,9,7478,7191,0,always,0,60,Gold League II,10,Español
232,#QV0PGVCC,closed,Indonesia,8,12487,11081,0,always,2,102,Unranked,12,Bahasa Indonesia
233,#2Y922JR20,inviteOnly,Indonesia,7,11451,8317,1000,always,0,82,Unranked,11,Bahasa Indonesia
234,#2LR8V9P2U,closed,Mexico,8,11677,10633,0,always,0,115,Unranked,9,Español
235,#GVQR8R0Y,closed,Indonesia,9,9044,6359,3000,always,3,184,Unranked,5,
236,#2Q9YVL2RU,inviteOnly,Kazakhstan,5,9339,11071,800,always,0,35,Silver League I,11,Pусский
237,#2YUGPRJ9Y,closed,International,6,5340,5383,0,always,2,30,Gold League II,5,English
238,#2P8UC9C20,closed,India,4,4117,5384,0,always,4,25,Silver League I,6,English
239,#2Q80QJUGQ,open,India,2,7854,9727,200,always,0,3,Silver League I,15,English
240,#L200VJ2L,closed,International,9,12787,12553,800,always,0,110,Silver League II,17,English
241,#Q89V2U08,inviteOnly,Philippines,9,14775,10889,0,always,0,145,Gold League I,20,
242,#22C88RPCP,inviteOnly,Philippines,6,9308,8910,5500,always,0,78,Gold League III,11,English
243,#2QY2U9URR,inviteOnly,International,1,7324,7830,0,always,0,2,Unranked,10,العربية
244,#2LRCCY9CG,closed,International,6,5792,7751,400,always,0,68,Gold League III,12,English
245,#2Y298PUUP,closed,Philippines,10,16021,14269,4600,always,0,111,Gold League II,15,
246,#22Y2YGVG8,inviteOnly,United States,9,12022,15236,0,always,0,71,Silver League I,16,
247,#2G0PLJ8RV,closed,,2,3812,3687,5500,always,0,3,Unranked,11,
248,#2Q2JQCGYG,closed,Afghanistan,2,4518,4306,400,always,1,7,Silver League II,6,English
249,#RY88QGPC,inviteOnly,India,12,12060,12332,200,always,0,312,Silver League II,12,
250,#PLLLYYJV,closed,International,11,15007,15081,1000,always,0,118,Gold League III,16,
251,#292J222Y8,inviteOnly,International,7,10702,14191,800,always,1,65,Silver League III,14,
